tempo_cadastro_cliente,numero_medio_cliques_por_sessao,tempo_total_logado_app,tempo_total_logado_website,valor_total_gasto
3.47202138,33.11995443,12.95326254,37.03427958,534.7714849
4.198349061,35.37187609,10.5724666,36.86218335,537.9157529
2.086348147,33.97608258,11.65803681,37.42527868,407.8763782
3.605933918,34.03416353,13.59251266,36.83865679,618.8459704
4.03438613,32.77049216,11.37176736,35.26149812,502.7710746
2.32055025,33.50381038,11.23341495,37.21115258,397.4205841
3.491093337,31.87455169,10.29035077,36.92976156,392.2852442
5.320093864,32.53323998,14.12178384,38.40632901,689.2356998
2.782757828,33.44812501,11.90375668,36.8745436,462.6565189
3.447017793,33.36938094,12.22248394,36.35523488,515.5024797
4.712233579,33.45229528,12.00591637,36.53409567,576.4776072
1.228112423,32.90469244,11.91374515,36.0586476,357.8579836
4.019051427,35.63085386,12.12540197,38.18776368,597.7398789
1.707389729,32.24635,11.30555143,37.13312676,327.3779526
3.163091931,34.69559119,11.60899707,37.68487728,510.4013885
3.447092896,34.34392191,11.6930582,36.81293413,510.5014785
2.208813678,33.68093695,11.20156988,37.83544773,403.8195198
5.41235784,32.0609144,12.62543264,35.53914243,627.6033187
2.768851943,33.4310971,13.35063168,37.96597162,510.6617922
3.746572973,33.23765998,13.56615961,36.4179848,573.8474377
3.576525915,34.70252897,11.69573629,37.19026771,529.0490041
4.958264473,32.64677668,11.49940906,38.33257633,551.6201455
2.336484668,33.32250105,12.39142299,36.84008573,456.4695101
2.735159567,33.71598092,12.41880832,35.77101619,497.7786422
3.130538462,34.85131417,12.41554196,37.67232248,543.1326263
4.985204971,34.21146128,10.77024892,34.64980005,577.7360249
1.726962043,33.45961932,12.66439052,36.36684325,436.5807403
3.701622287,34.20053941,12.66780888,37.48704925,553.9946736
4.082620633,34.49726773,12.65565115,39.57766802,587.951054
2.664034182,31.92627203,11.10946073,37.26895887,392.2049334
4.104543202,33.00091476,11.33027806,37.11059744,487.5475049
3.120178783,34.30555663,13.71751367,36.72128268,581.852344
4.446308318,33.33067252,12.79518855,37.5366533,599.406092
5.493507201,33.87103788,12.02692534,34.47687763,637.1024479
4.685017247,32.0215955,11.36634831,36.68377615,521.5721748
4.434273435,32.73914294,12.35195897,37.37335886,549.9041461
3.273433578,33.9877729,13.38623528,37.53449734,570.200409
3.202806072,31.93654862,11.81412829,37.14516822,427.1993849
2.482607771,33.99257277,13.33897545,37.22580613,492.6060127
3.713209203,33.87936082,11.584783,37.08792607,522.3374046
4.046423164,29.53242897,10.9612984,37.42021558,408.6403511
3.918541839,33.19033404,12.95922609,36.1446667,573.4158673
2.494543647,32.38797585,13.14872569,36.61995708,470.4527333
3.357846842,30.73772037,12.63660605,36.21376309,461.7807422
3.136132716,32.1253869,11.73386169,34.89409275,457.8476959
2.420806161,32.33889932,12.01319469,38.38513659,407.7045475
1.516575581,32.18781205,14.71538754,38.24411459,452.3156755
4.06454855,32.61785606,13.98959256,37.1905038,605.0610388
4.599937358,32.91278511,11.36549203,37.60779252,534.7057438
1.55915194,33.50308726,12.8779837,37.44102134,419.9387748
2.245147787,31.53160448,13.37856278,38.73400629,436.5156057
3.919302309,32.90325097,11.65757592,36.77260376,519.3409891
5.705153971,34.507551,12.8936695,37.63575588,700.9170916
2.721735992,33.02933195,11.76581265,37.73852495,423.1799917
4.648199316,33.54123131,12.78389178,36.43064962,619.8956399
2.996364526,32.33598964,13.00781942,37.85177917,486.8389348
3.923488746,33.11020506,11.98204499,35.29308775,529.5376653
4.74257752,33.10543794,11.96502,37.27781174,554.7220838
3.062368145,33.24190043,12.30541781,36.16364817,497.5866713
3.471413452,33.4610563,10.86916381,35.62244242,447.6879065
4.343062915,32.17550124,13.38749211,35.69417499,588.7126055
2.820097234,32.72836,13.10450724,38.87804051,491.0732237
4.124585297,32.82030995,11.63489325,35.36862633,507.4418323
3.649286158,33.61603789,11.9363865,38.768641,521.8835732
1.847370423,31.72165236,11.7550237,36.76572236,347.7769266
3.452388583,32.86532717,11.98441752,37.0443614,490.7386321
4.650491269,32.74936818,9.954975969,37.38831487,478.1703341
4.222436225,32.56723048,12.48901322,36.37147981,537.8461953
4.671275461,32.07054622,11.73310622,37.53429101,532.7517876
4.646119977,33.01954799,10.63456132,37.49669015,501.8744303
4.214495086,33.79203908,12.50752537,37.14286198,591.1971782
4.64325855,32.89398062,11.52987821,36.88808605,547.2443434
2.258686387,32.04448613,13.41493474,36.11243501,448.2298292
3.663105491,34.55576799,12.17052542,39.13109673,549.8605905
3.876875177,34.56455771,13.14655143,37.33544589,593.915003
4.113226123,32.7267846,12.98851015,36.46200326,563.6728734
3.202531199,33.11721873,11.86412636,36.58272777,479.7319491
3.198399272,31.66104982,11.39806419,36.5944567,416.3583536
5.976768126,33.25633547,13.85806246,37.78026469,725.5848141
2.952668958,33.90022441,10.95679097,37.26687826,442.6672517
2.094891706,34.18777483,10.32011626,37.4534051,384.6265716
3.855471685,33.76206924,9.984514397,35.9334493,451.4574469
2.87459691,34.39016366,12.64519514,38.46832111,522.4041413
3.392050489,33.9252966,11.58865542,35.25224202,483.673308
2.995761183,32.6882293,13.76153285,39.25293095,520.8987945
3.315224754,34.30187022,10.56829469,36.17312563,453.1695024
3.471919137,32.84393022,11.83228622,36.81401056,496.6507081
3.970555628,33.75499473,12.06415663,37.27122169,547.3651406
4.639320332,33.87978429,12.4955916,38.05260975,616.851523
2.974736815,31.82797906,12.46114744,37.42899737,440.0027475
2.61816531,32.01807401,10.07946345,38.07066426,357.7831107
2.804013693,32.997459,12.58924056,37.33224075,476.1392469
2.964497876,31.81642833,14.28801459,36.77386137,501.1224915
4.350887844,34.46151474,11.9171157,37.76668677,592.6884532
3.872432042,32.34279623,11.40964462,35.77778217,486.0834255
4.615426307,32.30274837,12.81539265,37.95780983,576.0252441
2.727209454,33.06644066,11.67322925,37.84065508,442.7228916
3.53712388,33.89464039,10.61053652,37.97738874,461.7909591
3.12650949,32.76566459,12.50654819,35.82346667,488.3875258
5.137816746,33.76981237,11.30446231,37.83397173,593.1564015
3.128638856,31.81248256,10.88692118,34.89782769,392.810345
3.178952405,32.00850452,12.09588949,36.37750903,443.197221
3.827375915,33.30433662,12.69266143,37.33359061,535.4807752
5.081210092,33.07653561,9.607314688,36.49399255,507.212569
4.802630631,32.22729914,13.72862718,37.99702801,613.5993234
3.414688423,32.78977262,11.67006592,37.40874848,483.1597208
3.462298847,32.77260993,13.27631301,36.60077705,540.2634004
5.377593584,34.37425805,15.12699429,37.15762409,765.5184619
4.001786346,33.07871721,12.69578975,35.35844431,553.6015347
3.43959056,32.8052204,11.83547609,36.37506611,469.3108615
2.779520719,32.43075793,11.30623234,37.68040323,408.6201878
3.552649767,32.17909997,11.18753891,40.00518164,451.5756852
2.602287112,33.15417579,11.88749413,36.2650007,444.9665517
4.694322274,34.33589584,12.22893471,36.15719115,595.8228367
3.401522345,32.38625186,10.67465347,38.00658318,418.1500811
3.8515788,32.80869759,12.81711309,37.03153922,534.7771881
3.258112883,33.87974497,13.58780608,38.26035344,578.2416051
3.120568915,32.04983939,12.23805735,38.73086174,478.7193569
2.837943164,33.55520742,11.55182117,36.62883429,444.2859075
4.470282584,33.14207933,11.43337993,35.89243163,544.7798637
4.442054329,32.59718266,10.88956686,38.21257083,488.7860611
3.164943995,33.16713688,11.92884209,36.91463331,475.7590678
3.751734552,31.51473786,12.59567131,39.60037647,489.812488
3.159754444,34.59402115,10.94725858,35.88399439,462.8976362
4.130562809,33.50136982,13.89808199,37.05891282,596.4301726
1.914089924,32.40237102,10.87555955,37.78114256,338.3198626
4.396651901,34.65548568,10.3380727,36.15725594,533.5149353
5.113319475,31.80930032,11.63466822,36.18253928,536.7718994
2.669941624,33.8777793,12.51766629,37.15192066,487.379306
3.366463743,34.44787144,10.60772387,36.81909551,473.7289665
4.571213024,31.95630056,12.8288934,36.95161668,547.1259317
3.917451119,32.60558364,12.06881608,36.1050005,505.1133435
2.476139051,32.4914466,12.53035737,37.8752191,449.0703194
4.125584363,33.61601855,13.5162843,36.77312349,611.0000251
3.997255378,33.47160053,11.66226343,36.05024078,515.8288149
1.36267408,33.71065306,13.66474788,37.72438616,439.0747667
4.193324636,32.1977238,11.83023109,36.6338567,514.0889577
